AEL	1032	 AMERICAN EQUITY INVESTMENT LIFE HOLDING CO
AEM	1010	 AGNICO-EAGLE MINES LTD
AEMD	3116	 AETHLON MEDICAL INC
AEO	1021	 AMERICAN EAGLE OUTFITTERS IN
AEP	2074	 AMERICAN ELEC PWR CO INC
AER	3106	 AERCAP HOLDINGS NV
AERI	2063	 AERIE PHARMACEUTICALS INC
AES	2074	 THE AES CORPORATION
AET	2063	 AETNA INC.(NEW)
AETI	3106	 AMERICAN ELECTRIC TECHNOLOGIES
AEUA	-1	 -10
AEY	3116	 ADDVANTAGE TECHNOLOGIES GROUP INC
AEZS	2063	 AETERNA ZENTARIS INC
AFAM	-1	 -10
AFB	1031	 ALLIANCEBERNSTEIN NATIONAL MUN
AFC	1031	 ALLIED CAP CORP (ALD) 6.8750% 4/15/47 SERIES
AFG	1032	 AMERICAN FINL GP (HOLD CO)
AFGE	-1	 AMER FINL GROUP 6.2500% 9/30/54
AFGH	-1	 AMERICAN FINL GROUP INC 6% SUB DEBENTURES DUE 2055
AFH	1032	 ATLAS FINANCIAL HOLDINGS INC
AFHBL	-1	 -10
AFI	1010	 ARMSTRONG FLOORING INC
AFL	1032	 AFLAC INC
AFMD	2063	 AFFIMED NV
AFSD	-1	 -10
AFSI	1032	 AMTRUST FINANCIAL SERVICES INC
AFSI_A	-1	 -10
AFSI_B	-1	 -10
AFSI_C	-1	 -10
AFSI_D	-1	 -10
AFSI_E	-1	 -10
AFSI_F	-1	 -10
AFSS	-1	 AMTRUST FINL SVCS INC 7.25% SUB NTS DUE 2055 (DE)
AFST	-1	 AMTRUST FINANCIAL SERVICES INC7.50% SUBORDINATED NOTES
AFT	1031	 APOLLO SENIOR FLOATING RATE FUND INC
AFTY	-1	 CSOP FTSE CHINA A50 ETF/UNITED STATES
AG	1010	 FIRST MAJESTIC SILVER CORP
AGC	1031	 ADVENT CLAYMORE CONVERTIBLE SE
AGCO	3105	 AGCO CORP
AGD	1031	 ABERDEEN GLOBAL DYNAMIC DIVIDEND FUND
AGEN	2063	 AGENUS INC
AGFS	1010	 AGROFRESH SOLUTIONS INC
AGFSW	-1	 -10
AGGE	-1	 INDEXIQ ETF TRUST - IQ ENHANCED CORE BOND U.S. ETF
AGGP	-1	 INDEXIQ ETF TRUST - IQ ENHANCED CORE PLUS BOND U.S. ETF
AGGY	-1	 WISDOMTREE TR BARCLAYS U S AGGREGATE BD ENHANCED YIELD FD
AGI	1010	 ALAMOS GOLD INC.
AGII	-1	 -10
AGIIL	-1	 -10
AGIO	2063	 AGIOS PHARMACEUTICALS INC
AGLE	2063	 AEGLEA BIOTHERAPEUTICS INC
AGM	1032	 FED AGRICLT MTG CP CL C NON-VT
AGM-A	-1	 -10
AGM_A	1032	 FED AGRICLTRAL MTG CP CL A VTG
AGM_B	-1	 -10
AGM_C	-1	 -10
AGN	2063	 ALLERGAN PLC
AGN_A	-1	 -10
AGNC	1042	 AGNC INVESTMENT CORP
AGNCB	-1	 -10
AGNCN	-1	 -10
AGO	1032	 ASSURED GUARNATY LTD
AGO_B	-1	 -10
AGO_E	-1	 -10
AGO_F	-1	 -10
AGR	2074	 AVANGRID INC
AGRO	2053	 ADECOAGRO SA
AGRX	2063	 AGILE THERAPEUTICS INC
AGT	-1	 BLACKROCK FUND ADVISORS - ISHARES MSCI ARGENTINA AND GLOBAL EXPOSURE ETF
AGTC	2063	 APPLIED GENETIC TECHNOLOGIES CORP/DE
AGU	-1	 -10
AGX	3105	 ARGAN INC
AGYS	3116	 AGILYSYS INC
AHC	1021	 AH BELO CORP
AHGP	-1	 -10
AHH	1042	 ARMADA HOFFLER PROPERTIES INC
AHL	1032	 ASPEN INSURANCE HOLDINGS LTD ORD
AHL_C	-1	 -10
AHL_D	-1	 -10
AHP	-1	 -10
AHP_B	-1	 -10
AHPA	-1	 -10
AHPAU	-1	 -10
AHPAW	-1	 -10
AHPI	2063	 ALLIED HEALTHCARE PRODS INC
AHT	1042	 ASHFORD HOSPITALITY TRUST INC
AHT_D	-1	 -10
AHT_F	-1	 -10
AHT_G	-1	 -10
AHT_H	-1	 -10
AI	1032	 ARLINGTON ASSET INVESTMENT COR
AI_B	-1	 -10
AIB-CL	-1	 -10
AIC	-1	 ARLINGTON ASSET INVESTMENT 6 3/4 3/15/25 PFD
AIEQ	-1	 ETF MANAGERS GROUP LLC - EQUBOT WITH WATSON AI TOTAL US ETF
AIF	1031	 APOLLO TACTICAL INCOME FUND INC
AIG	1032	 AMERICAN INTL GROUP INC
AIG-WS	-1	 -10
AIMC	3106	 ALTRA INDUSTRIAL MOTION CORP
AIMT	2063	 Aimmune Therapeutics Inc
AIN	1021	 ALBANY INTL CORP CL A
AINC	1031	 ASHFORD INC
AINV	1031	 APOLLO INVESTMENT CORP
AIR	3105	 A A R CORP
AIRG	3116	 AIRGAIN INC
AIRI	3105	 AIR INDUSTRIES GROUP
AIRT	3106	 AIR T INC
AIT	3106	 APPLIED INDUSTRIAL TECHS INC.
AIV	1042	 APARTMENT INVST & MGMT CO
AIV_A	-1	 -10
AIW	-1	 ARLINGTON ASSET 6.6250% 5/01/23 SERIES
AIY	-1	 APOLLO INVESTMENT CORP
AIZ	1032	 ASSURANT INC
AJG	1032	 GALLAGHER ARTHUR J.& CO
AJRD	3105	 AEROJET ROCKETDYNE HOLDINGS INC
AJX	1042	 GREAT AJAX CORP
AJXA	-1	 Great Ajax Corp.
AKAM	3116	 AKAMAI TECHNOLOGIES INC
AKAO	2063	 ACHAOGEN INC
AKBA	2063	 AKEBIA THERAPEUTICS INC
AKCA	2063	 Akcea Therapeutics Inc
AKER	2064	 AKERS BIOSCIENCES INC
AKG	1010	 KEEGAN RESOURCES INC
AKO-A	-1	 -10
AKO-B	-1	 -10
AKP	1031	 ALLIANCE CALIFORNIA INCOME FD
AKR	1042	 ACADIA REALTY TRUST
AKRX	2063	 AKORN INC
AKS	1010	 AK STEEL HOLDING CORP
AKTS	3116	 Akoustis Technologies Inc
AKTX	2063	 AKARI THERAPEUTICS PLC
AL	3105	 AIR LEASE CORP
ALB	1010	 ALBEMARLE CORP
ALBO	2063	 ALBIREO PHARMA INC
ALCO	2053	 ALICO INC
ALDR	2063	 ALDER BIOPHARMACEUTICALS INC
ALDW	-1	 -10
ALDX	2063	 ALDEYRA THERAPEUTICS INC
ALE	2074	 ALLETE INC NEW
ALEX	1042	 ALEXANDER & BALDWIN INC.
ALFI	-1	 ETF SER SOLUTIONS ALPHACLONE INTL ETF (DE)
ALG	3105	 ALAMO GROUP
ALGN	2063	 ALIGN TECHNOLOGY INC
ALGT	3105	 ALLEGIANT TRAVEL CO
ALIM	2063	 ALIMERA SCIENCES INC
ALJJ	3105	 ALJ REGIONAL HOLDINGS INC
ALK	3105	 ALASKA AIR GROUP INC
ALKS	2063	 ALKERMES PLC
ALL	1032	 ALLSTATE CORP (THE)
ALL_A	-1	 -10
ALL_B	-1	 -10
ALL_C	-1	 -10
ALL_D	-1	 -10
ALL_E	-1	 -10
ALL_F	-1	 -10
ALLE	3105	 ALLEGION PLC
ALLT	3116	 ALLOT LTD
ALLY	1032	 ALLY FINANCIAL INC
ALLY_A	-1	 -10
ALN	-1	 -10
ALNA	2063	 ALLENA PHARMACEUTICALS INC
ALNY	2063	 ALNYLAM PHARMACEUTICALS INC
ALO	1010	 ALIO GOLD INC
ALOG	2064	 ANALOGIC CORP
ALOT	3116	 ASTRONOVA INC
ALP_O-CL	-1	 -10
ALP_Q	-1	 -10
ALPN	2063	 ALPINE IMMUNE SCIENCES INC
ALQA	2063	 ALLIQUA BIOMEDICAL INC
ALRM	3116	 ALARM COM HLDGS INC COM
ALRN	2063	 AILERON THERAPEUTICS INC
ALSK	3084	 ALASKA COMMUNICATIONS SYSTEMS GROUP INC
ALSN	1020	 ALLISON TRANSMISSION HOLDINGS INC
ALT	2063	 ALTIMMUNE INC
ALTR	3116	 ALTAIR ENGINEERING INC
ALTY	-1	 GLOBAL X MANAGEMENT COMPANY LLC - GLOBAL X SUPERDIVIDEND ALTERNATIVES ETF
ALV	1020	 AUTOLIV INC
ALX	1042	 ALEXANDERS INC
ALXN	2063	 ALEXION PHARMACEUTICALS INC
AM	3094	 ANTERO MIDSTREAM CORP
AMAG	2063	 AMAG PHARMACEUTICALS INC
AMAT	3116	 APPLIED MATERIALS INC
AMBA	3116	 AMBARELLA INC
AMBC	1032	 AMBAC FINANCIAL GROUP INC/NEW
AMBCW	-1	 -10
AMBR	3116	 AMBER ROAD INC
AMC	1021	 AMC ENTERTAINMENT HOLDINGS INC
AMCA	-1	 BLACKROCK FUND ADVISORS - ISHARES RUSSELL 1000 PURE U.S. REVENUE ETF
AMCN	1020	 AIRMEDIA GROUP INC
AMCX	1021	 AMC NETWORKS INC
AMD	3116	 ADVANCED MICRO DEVICES INC
AMDA	-1	 -10
